City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,antofagasta,-23.65,-70.4,18.600000000000023,80,23,2.49,CL,1681184442
67,mirnyy,62.5353,113.9611,-7.089999999999975,34,90,4.92,RU,1681184597
68,goderich,43.7501,-81.7165,13.180000000000007,35,84,6.69,CA,1681184597
69,nanortalik,60.1432,-45.2371,0.5200000000000387,93,100,2.94,GL,1681184597
70,zhigansk,66.7697,123.3711,-16.079999999999984,73,93,1.87,RU,1681184598
71,krasnoselkup,65.7,82.4667,-20.169999999999987,90,57,6.61,RU,1681184598
72,avarua,-21.2078,-159.775,27.03000000000003,61,14,2.06,CK,1681184598
73,sitka,57.0531,-135.33,5.939999999999998,56,100,3.6,US,1681184598
74,khani,41.9563,42.9566,10.760000000000048,81,87,2.73,GE,1681184598
75,dingle,10.9995,122.6711,25.590000000000032,79,100,1.68,PH,1681184598
76,portland,45.5234,-122.6762,7.32000000000005,94,100,4.12,US,1681184100
77,busselton,-33.65,115.3333,19.29000000000002,73,99,5.69,AU,1681184599
78,bethel,41.3712,-73.414,9.770000000000039,59,0,1.54,US,1681184599
79,nikolskoye,59.7035,30.7861,2.670000000000016,85,99,0.53,RU,1681184599
80,narsaq,60.9167,-46.05,8.120000000000005,61,98,4.8,GL,1681184599
81,trincomalee,8.5711,81.2335,29.379999999999995,65,72,4.31,LK,1681184599
82,albany,42.6001,-73.9662,9.960000000000036,52,9,1.34,US,1681184599
83,myitkyina,25.3833,97.4,36.53000000000003,19,0,0.6,MM,1681184599
84,san patricio,28.017,-97.5169,21.920000000000016,92,30,2.27,US,1681184600
85,mino,34.8269,135.4706,23.010000000000048,55,40,4.63,JP,1681184600
86,port lincoln,-34.7333,135.8667,17.25,85,100,5.38,AU,1681184600
87,djambala,-2.5447,14.7533,20.090000000000032,98,100,2.01,CG,1681184600
88,bandarbeyla,9.4942,50.8122,27.560000000000002,75,19,3.48,SO,1681184601
89,kangaatsiaq,68.3065,-53.4641,-8.810000000000002,99,61,2.24,GL,1681184311
90,santiago del estero,-27.7951,-64.2615,21.920000000000016,61,8,3.14,AR,1681184336
91,la ronge,55.1001,-105.2842,7.140000000000043,33,40,3.6,CA,1681184601
92,punta arenas,-53.15,-70.9167,6.060000000000002,75,0,13.38,CL,1681184601
93,sistranda,63.7256,8.834,7.980000000000018,76,70,4.56,NO,1681184601
94,bontang,0.1333,117.5,28.680000000000007,74,18,2.33,ID,1681184602
95,bouza,14.4229,6.0428,26.610000000000014,16,73,4.93,NE,1681184602
96,hilo,19.7297,-155.09,23.49000000000001,85,100,4.12,US,1681184374
